,comment,date,image,is_fake,lemmas,stem
225,"получать   заказик    все   довольный    огромный   вы   благодарность    штанишки   садиться   красиво    ткань   дышать    спасибо 
",19 апр 2018 в 18:32,False,1,"['получать', 'заказик', 'все', 'довольный', 'огромный', 'вы', 'благодарность', 'штанишки', 'садиться', 'красиво', 'ткань', 'дышать', 'спасибо']","['получа', 'заказик', 'все', 'довольн', 'огромн', 'вы', 'благодарн', 'штанишк', 'сад', 'красив', 'ткан', 'дыша', 'спасиб']"
226,"очень   довольный   качество   вещь   и   обслуживание    большой   спасибо    быть   ваш   клиент    удача   вы   и   процветание   мой   сумочка   отличный   качество 
",19 апр 2018 в 18:36,True,1,"['очень', 'довольный', 'качество', 'вещь', 'и', 'обслуживание', 'большой', 'спасибо', 'быть', 'ваш', 'клиент', 'удача', 'вы', 'и', 'процветание', 'мой', 'сумочка', 'отличный', 'качество']","['очен', 'довольн', 'качеств', 'вещ', 'и', 'обслуживан', 'больш', 'спасиб', 'быть', 'ваш', 'клиент', 'удач', 'вы', 'и', 'процветан', 'мой', 'сумочк', 'отличн', 'качеств']"
227,"я   очень   довольный   красный   находка   платье      легкий     просто   слово   нет        давно   мечтать       и   главное   заказ   приходить   быстро      спасибо   огромный          спасибо    что   вы   быть 
",19 апр 2018 в 19:01,True,1,"['я', 'очень', 'довольный', 'красный', 'находка', 'платье', 'легкий', 'просто', 'слово', 'нет', 'давно', 'мечтать', 'и', 'главное', 'заказ', 'приходить', 'быстро', 'спасибо', 'огромный', 'спасибо', 'что', 'вы', 'быть']","['я', 'очен', 'довольн', 'красн', 'находк', 'плат', 'легк', 'прост', 'слов', 'нет', 'давн', 'мечта', 'и', 'главн', 'заказ', 'приход', 'быстр', 'спасиб', 'огромн', 'спасиб', 'что', 'вы', 'быть']"
228,"сегодня   получать   костюмчик    оставаться   очень   довольный      все   подходить   и   качество   хороший     спасибо   вы   огромный 
",19 апр 2018 в 20:06,True,1,"['сегодня', 'получать', 'костюмчик', 'оставаться', 'очень', 'довольный', 'все', 'подходить', 'и', 'качество', 'хороший', 'спасибо', 'вы', 'огромный']","['сегодн', 'получа', 'костюмчик', 'остава', 'очен', 'довольн', 'все', 'подход', 'и', 'качеств', 'хорош', 'спасиб', 'вы', 'огромн']"
229,"спасибо   вы   за   красивый   платье    оно   я   так   понравиться    качество   хороший    весь   шов   аккуратный    и   доставка   быстрый    так   приятно   работать   с   такой   ответственный   человек 
",20 апр 2018 в 15:02,True,1,"['спасибо', 'вы', 'за', 'красивый', 'платье', 'оно', 'я', 'так', 'понравиться', 'качество', 'хороший', 'весь', 'шов', 'аккуратный', 'и', 'доставка', 'быстрый', 'так', 'приятно', 'работать', 'с', 'такой', 'ответственный', 'человек']","['спасиб', 'вы', 'за', 'красив', 'плат', 'он', 'я', 'так', 'понрав', 'качеств', 'хорош', 'ве', 'шов', 'аккуратн', 'и', 'доставк', 'быстр', 'так', 'приятн', 'работа', 'с', 'такой', 'ответствен', 'человек']"
230,"отличный   интернет   магазин     все   приходить   то   что   надо   и   размер   и   расцветка   костюмчик   очень   классный    и   главное   все   во   время   без   какой   либо   задержка   быть   далеко   сотрудничать 
",20 апр 2018 в 15:21,True,1,"['отличный', 'интернет', 'магазин', 'все', 'приходить', 'то', 'что', 'надо', 'и', 'размер', 'и', 'расцветка', 'костюмчик', 'очень', 'классный', 'и', 'главное', 'все', 'во', 'время', 'без', 'какой', 'либо', 'задержка', 'быть', 'далеко', 'сотрудничать']","['отличн', 'интернет', 'магазин', 'все', 'приход', 'то', 'что', 'надо', 'и', 'размер', 'и', 'расцветк', 'костюмчик', 'очен', 'классн', 'и', 'главн', 'все', 'во', 'врем', 'без', 'какой', 'либ', 'задержк', 'быть', 'далек', 'сотруднича']"
231,"заказывать   шортик    садиться   очень   хорошо   по   фигурка    качество   бомба 
",20 апр 2018 в 17:39,True,1,"['заказывать', 'шортик', 'садиться', 'очень', 'хорошо', 'по', 'фигурка', 'качество', 'бомба']","['заказыва', 'шортик', 'сад', 'очен', 'хорошо', 'по', 'фигурк', 'качеств', 'бомб']"
232,"прекрасный   легкий   платье    приятный   материал    и   очень   спокойный   цена    спасибо   большой   за   возможность   красоваться 
",20 апр 2018 в 20:28,True,1,"['прекрасный', 'легкий', 'платье', 'приятный', 'материал', 'и', 'очень', 'спокойный', 'цена', 'спасибо', 'большой', 'за', 'возможность', 'красоваться']","['прекрасн', 'легк', 'плат', 'приятн', 'материа', 'и', 'очен', 'спокойн', 'цен', 'спасиб', 'больш', 'за', 'возможн', 'красова']"
233,"получать   туфля    по   размер   идеально   и   качество   отличный    спасибо   большой 
",22 апр 2018 в 16:54,True,1,"['получать', 'туфля', 'по', 'размер', 'идеально', 'и', 'качество', 'отличный', 'спасибо', 'большой']","['получа', 'туфл', 'по', 'размер', 'идеальн', 'и', 'качеств', 'отличн', 'спасиб', 'больш']"
234,"заказывать   у   вы   сумочка    довольный   на   весь         приходить   быстро   без   задержка    запах   не   быть    строчка   весь   ровный 
",22 апр 2018 в 16:55,True,1,"['заказывать', 'у', 'вы', 'сумочка', 'довольный', 'на', 'весь', 'приходить', 'быстро', 'без', 'задержка', 'запах', 'не', 'быть', 'строчка', 'весь', 'ровный']","['заказыва', 'у', 'вы', 'сумочк', 'довольн', 'на', 'ве', 'приход', 'быстр', 'без', 'задержк', 'зап', 'не', 'быть', 'строчк', 'ве', 'ровн']"
235,"хороший   костюм   цена   качество   за   такой   цена   однозначно   нужно   брать     рекомендовать 
",22 апр 2018 в 16:57,True,1,"['хороший', 'костюм', 'цена', 'качество', 'за', 'такой', 'цена', 'однозначно', 'нужно', 'брать', 'рекомендовать']","['хорош', 'костюм', 'цен', 'качеств', 'за', 'такой', 'цен', 'однозначн', 'нужн', 'брат', 'рекомендова']"
236,"очень   довольный   свой   заказ    отличный   качество    совпадать   с   фото    огромный   спасибо   за   внимание   и   хороший   обслуживание       очень   быстрый   доставка    молодец 
",22 апр 2018 в 16:58,False,1,"['очень', 'довольный', 'свой', 'заказ', 'отличный', 'качество', 'совпадать', 'с', 'фото', 'огромный', 'спасибо', 'за', 'внимание', 'и', 'хороший', 'обслуживание', 'очень', 'быстрый', 'доставка', 'молодец']","['очен', 'довольн', 'сво', 'заказ', 'отличн', 'качеств', 'совпада', 'с', 'фот', 'огромн', 'спасиб', 'за', 'вниман', 'и', 'хорош', 'обслуживан', 'очен', 'быстр', 'доставк', 'молодец']"
237,"получать   свой   заказ   еще   несколько   день   назад    наконец   то   доходить   рука   написать    заказ   приходить   неожиданно   быстро    всего   около   неделя    качество   пошив   я   полностью   устраивать    общение   в   процесс   заказ   тоже    спасибо   за   понимание    заказывать   еще   что   нибудь 
",22 апр 2018 в 16:59,False,1,"['получать', 'свой', 'заказ', 'еще', 'несколько', 'день', 'назад', 'наконец', 'то', 'доходить', 'рука', 'написать', 'заказ', 'приходить', 'неожиданно', 'быстро', 'всего', 'около', 'неделя', 'качество', 'пошив', 'я', 'полностью', 'устраивать', 'общение', 'в', 'процесс', 'заказ', 'тоже', 'спасибо', 'за', 'понимание', 'заказывать', 'еще', 'что', 'нибудь']","['получа', 'сво', 'заказ', 'еще', 'нескольк', 'ден', 'назад', 'наконец', 'то', 'доход', 'рук', 'написа', 'заказ', 'приход', 'неожида', 'быстр', 'всего', 'окол', 'недел', 'качеств', 'пош', 'я', 'полност', 'устраива', 'общен', 'в', 'процесс', 'заказ', 'тоже', 'спасиб', 'за', 'пониман', 'заказыва', 'еще', 'что', 'нибудь']"
238,"спасибо   вы   большой   сумка   великолепный    размер   как   и   хотеть    качество   очень   хороший    быть   продолжать   у   вы   заказывать   и   советовать   вы   друг 
",22 апр 2018 в 17:13,True,1,"['спасибо', 'вы', 'большой', 'сумка', 'великолепный', 'размер', 'как', 'и', 'хотеть', 'качество', 'очень', 'хороший', 'быть', 'продолжать', 'у', 'вы', 'заказывать', 'и', 'советовать', 'вы', 'друг']","['спасиб', 'вы', 'больш', 'сумк', 'великолепн', 'размер', 'как', 'и', 'хотет', 'качеств', 'очен', 'хорош', 'быть', 'продолжа', 'у', 'вы', 'заказыва', 'и', 'советова', 'вы', 'друг']"
239,"большой   спасибо   вы   за   платье    оно   нереальный    качество   великолепный    размер   подходить    так   же   большой   спасибо   за   маленький   приятность      консультанточень   внимательный   и   приятный    помогать   определяться   и   с   фасон   платье    что   хороший   на   фигура   смотреться   быть   и   с   размер    доставка   оперативный    еще   раз   большой   спасибо    теперь   за   платье   только   к   вы 
",22 апр 2018 в 17:50,True,1,"['большой', 'спасибо', 'вы', 'за', 'платье', 'оно', 'нереальный', 'качество', 'великолепный', 'размер', 'подходить', 'так', 'же', 'большой', 'спасибо', 'за', 'маленький', 'приятность', 'консультанточень', 'внимательный', 'и', 'приятный', 'помогать', 'определяться', 'и', 'с', 'фасон', 'платье', 'что', 'хороший', 'на', 'фигура', 'смотреться', 'быть', 'и', 'с', 'размер', 'доставка', 'оперативный', 'еще', 'раз', 'большой', 'спасибо', 'теперь', 'за', 'платье', 'только', 'к', 'вы']","['больш', 'спасиб', 'вы', 'за', 'плат', 'он', 'нереальн', 'качеств', 'великолепн', 'размер', 'подход', 'так', 'же', 'больш', 'спасиб', 'за', 'маленьк', 'приятност', 'консультанточен', 'внимательн', 'и', 'приятн', 'помога', 'определя', 'и', 'с', 'фасон', 'плат', 'что', 'хорош', 'на', 'фигур', 'смотрет', 'быть', 'и', 'с', 'размер', 'доставк', 'оперативн', 'еще', 'раз', 'больш', 'спасиб', 'теперь', 'за', 'плат', 'только', 'к', 'вы']"
240,"классс   я   приходить   костюм   спортивный    я   такой   довольный     я   он   так   понравиться   и   самый   главное   что   подходить     очень   переживать   за   размер     хотеть   сказать   большой   спасибо   продавец   за   хороший   общение   и   за   помощь   в   выбор     очень   довольный     теперь   быть   только   здесь   заказывать     уже   платье   присматривать        спасибо 
",22 апр 2018 в 19:38,False,1,"['классс', 'я', 'приходить', 'костюм', 'спортивный', 'я', 'такой', 'довольный', 'я', 'он', 'так', 'понравиться', 'и', 'самый', 'главное', 'что', 'подходить', 'очень', 'переживать', 'за', 'размер', 'хотеть', 'сказать', 'большой', 'спасибо', 'продавец', 'за', 'хороший', 'общение', 'и', 'за', 'помощь', 'в', 'выбор', 'очень', 'довольный', 'теперь', 'быть', 'только', 'здесь', 'заказывать', 'уже', 'платье', 'присматривать', 'спасибо']","['классс', 'я', 'приход', 'костюм', 'спортивн', 'я', 'такой', 'довольн', 'я', 'он', 'так', 'понрав', 'и', 'сам', 'главн', 'что', 'подход', 'очен', 'пережива', 'за', 'размер', 'хотет', 'сказа', 'больш', 'спасиб', 'продавец', 'за', 'хорош', 'общен', 'и', 'за', 'помощ', 'в', 'выбор', 'очен', 'довольн', 'теперь', 'быть', 'только', 'здесь', 'заказыва', 'уже', 'плат', 'присматрива', 'спасиб']"
241,"заказывать   кроссовок    все   приходить   в   срок    быть   не   очень   хороший   опыт   заказ   в   интернет    сделать   заказ   на   страх   и   риск    не   ошибаться    качество   кроссовок   хороший    впрочем   на   фото   видно 
",22 апр 2018 в 19:41,True,1,"['заказывать', 'кроссовок', 'все', 'приходить', 'в', 'срок', 'быть', 'не', 'очень', 'хороший', 'опыт', 'заказ', 'в', 'интернет', 'сделать', 'заказ', 'на', 'страх', 'и', 'риск', 'не', 'ошибаться', 'качество', 'кроссовок', 'хороший', 'впрочем', 'на', 'фото', 'видно']","['заказыва', 'кроссовок', 'все', 'приход', 'в', 'срок', 'быть', 'не', 'очен', 'хорош', 'оп', 'заказ', 'в', 'интернет', 'сдела', 'заказ', 'на', 'страх', 'и', 'риск', 'не', 'ошиба', 'качеств', 'кроссовок', 'хорош', 'впрочем', 'на', 'фот', 'видн']"
242,"спасибо   за   джинсы   очень   понравиться   а   главное   по   размер   подходить 
",22 апр 2018 в 19:42,True,1,"['спасибо', 'за', 'джинсы', 'очень', 'понравиться', 'а', 'главное', 'по', 'размер', 'подходить']","['спасиб', 'за', 'джинс', 'очен', 'понрав', 'а', 'главн', 'по', 'размер', 'подход']"
243,"вчера   получать     платье   леопардовый   шикарно   смотреться       быть   самый   неотразимый   на   любой   вечер    все   рекомендовать   теперь   этот   сайт     действительно   хороший   вещь    жаль   мужской   вещь   нет 
",23 апр 2018 в 15:56,False,1,"['вчера', 'получать', 'платье', 'леопардовый', 'шикарно', 'смотреться', 'быть', 'самый', 'неотразимый', 'на', 'любой', 'вечер', 'все', 'рекомендовать', 'теперь', 'этот', 'сайт', 'действительно', 'хороший', 'вещь', 'жаль', 'мужской', 'вещь', 'нет']","['вчер', 'получа', 'плат', 'леопардов', 'шикарн', 'смотрет', 'быть', 'сам', 'неотразим', 'на', 'люб', 'вечер', 'все', 'рекомендова', 'теперь', 'этот', 'сайт', 'действительн', 'хорош', 'вещ', 'жал', 'мужск', 'вещ', 'нет']"
244,"заказывать   сумочка    очень   понравиться    фасон    качество   ткань    все   как   быть   на   картинка      общение   с   продавец   давольный     спасибо   вы 
",23 апр 2018 в 20:27,True,1,"['заказывать', 'сумочка', 'очень', 'понравиться', 'фасон', 'качество', 'ткань', 'все', 'как', 'быть', 'на', 'картинка', 'общение', 'с', 'продавец', 'давольный', 'спасибо', 'вы']","['заказыва', 'сумочк', 'очен', 'понрав', 'фасон', 'качеств', 'ткан', 'все', 'как', 'быть', 'на', 'картинк', 'общен', 'с', 'продавец', 'давольн', 'спасиб', 'вы']"
245,"получать   вчера   туфелька    качество   прекрасный    нарекание   никакой   нет    доставка   супер   быстрый 
",24 апр 2018 в 13:11,True,1,"['получать', 'вчера', 'туфелька', 'качество', 'прекрасный', 'нарекание', 'никакой', 'нет', 'доставка', 'супер', 'быстрый']","['получа', 'вчер', 'туфельк', 'качеств', 'прекрасн', 'нарекан', 'никак', 'нет', 'доставк', 'супер', 'быстр']"
246,"хотеть   поблагодарить   магазин   за   широкий   ассортимент   и   подобранный   оригинальный   фасон    заказывать   в   интернет   магазин   первый   раз    но   не   в   чем   не   разочаровываться    качество   очень   хороший    платье   выглядеть   в   точность   как   на   картинка     но   единственный    заказывать   заранее    так   как   доставка   мочь   затягиваться    спасибо 
",24 апр 2018 в 13:14,False,1,"['хотеть', 'поблагодарить', 'магазин', 'за', 'широкий', 'ассортимент', 'и', 'подобранный', 'оригинальный', 'фасон', 'заказывать', 'в', 'интернет', 'магазин', 'первый', 'раз', 'но', 'не', 'в', 'чем', 'не', 'разочаровываться', 'качество', 'очень', 'хороший', 'платье', 'выглядеть', 'в', 'точность', 'как', 'на', 'картинка', 'но', 'единственный', 'заказывать', 'заранее', 'так', 'как', 'доставка', 'мочь', 'затягиваться', 'спасибо']","['хотет', 'поблагодар', 'магазин', 'за', 'широк', 'ассортимент', 'и', 'подобра', 'оригинальн', 'фасон', 'заказыва', 'в', 'интернет', 'магазин', 'перв', 'раз', 'но', 'не', 'в', 'чем', 'не', 'разочаровыва', 'качеств', 'очен', 'хорош', 'плат', 'выглядет', 'в', 'точност', 'как', 'на', 'картинк', 'но', 'единствен', 'заказыва', 'заран', 'так', 'как', 'доставк', 'моч', 'затягива', 'спасиб']"
247,"заказывать   босоножка    они   просто   мега   крутой    начинать   от   каблук   и   заканчивать   расцветка    качество   супер    теперь   только   к   вы   за   покупка 
",24 апр 2018 в 14:56,True,1,"['заказывать', 'босоножка', 'они', 'просто', 'мега', 'крутой', 'начинать', 'от', 'каблук', 'и', 'заканчивать', 'расцветка', 'качество', 'супер', 'теперь', 'только', 'к', 'вы', 'за', 'покупка']","['заказыва', 'босоножк', 'они', 'прост', 'мег', 'крут', 'начина', 'от', 'каблук', 'и', 'заканчива', 'расцветк', 'качеств', 'супер', 'теперь', 'только', 'к', 'вы', 'за', 'покупк']"
248,"хотеть   выражать   благодарность   персонал   ваш   магазин    спасибо   девочка    помогать   подбирать   хороший   модель   по   вкус    также   порадовать   цена   и   быстрый   доставка 
",24 апр 2018 в 15:48,True,1,"['хотеть', 'выражать', 'благодарность', 'персонал', 'ваш', 'магазин', 'спасибо', 'девочка', 'помогать', 'подбирать', 'хороший', 'модель', 'по', 'вкус', 'также', 'порадовать', 'цена', 'и', 'быстрый', 'доставка']","['хотет', 'выража', 'благодарн', 'персона', 'ваш', 'магазин', 'спасиб', 'девочк', 'помога', 'подбира', 'хорош', 'модел', 'по', 'вкус', 'такж', 'порадова', 'цен', 'и', 'быстр', 'доставк']"
249,"вот   такой   крутой   платье   заказывать   у   вы    бусина   хорошо   пришивать   нитка   торчать   нет    да   и   в   целое   к   качество   никакой   претензия     село   идеально   бояться   за   бюст    но   зря     доставка   быть      день    спасибо   вы   огромный    рекомендовать 
",24 апр 2018 в 19:16,True,1,"['вот', 'такой', 'крутой', 'платье', 'заказывать', 'у', 'вы', 'бусина', 'хорошо', 'пришивать', 'нитка', 'торчать', 'нет', 'да', 'и', 'в', 'целое', 'к', 'качество', 'никакой', 'претензия', 'село', 'идеально', 'бояться', 'за', 'бюст', 'но', 'зря', 'доставка', 'быть', 'день', 'спасибо', 'вы', 'огромный', 'рекомендовать']","['вот', 'такой', 'крут', 'плат', 'заказыва', 'у', 'вы', 'бусин', 'хорошо', 'пришива', 'нитк', 'торча', 'нет', 'да', 'и', 'в', 'цел', 'к', 'качеств', 'никак', 'претенз', 'сел', 'идеальн', 'боя', 'за', 'бюст', 'но', 'зря', 'доставк', 'быть', 'ден', 'спасиб', 'вы', 'огромн', 'рекомендова']"
250,"я   любить   разный   сумка   и   рюкзак   и   не   особо   любить   они   скапливать    поэтому   покупать   они   по   выгодный   цена   для   я   самый   то    очень   довольный   качество   и   цена   комплект 
",24 апр 2018 в 19:23,True,1,"['я', 'любить', 'разный', 'сумка', 'и', 'рюкзак', 'и', 'не', 'особо', 'любить', 'они', 'скапливать', 'поэтому', 'покупать', 'они', 'по', 'выгодный', 'цена', 'для', 'я', 'самый', 'то', 'очень', 'довольный', 'качество', 'и', 'цена', 'комплект']","['я', 'люб', 'разн', 'сумк', 'и', 'рюкзак', 'и', 'не', 'особ', 'люб', 'они', 'скаплива', 'поэт', 'покупа', 'они', 'по', 'выгодн', 'цен', 'для', 'я', 'сам', 'то', 'очен', 'довольн', 'качеств', 'и', 'цен', 'комплект']"
251,"сегодня   получать   платье    доставка   молниеносный    приносить   курьер    заказ   безумно   довольный 
",24 апр 2018 в 20:22,True,1,"['сегодня', 'получать', 'платье', 'доставка', 'молниеносный', 'приносить', 'курьер', 'заказ', 'безумно', 'довольный']","['сегодн', 'получа', 'плат', 'доставк', 'молниеносн', 'принос', 'курьер', 'заказ', 'безумн', 'довольн']"
252,"такой   прелесть   ждать   я   на   почта    пропускать   уведомление    спасибо   вы   за   быстрый   доставка    не   ожидать    сумочка   качественный   и   вместительный 
",24 апр 2018 в 20:25,True,1,"['такой', 'прелесть', 'ждать', 'я', 'на', 'почта', 'пропускать', 'уведомление', 'спасибо', 'вы', 'за', 'быстрый', 'доставка', 'не', 'ожидать', 'сумочка', 'качественный', 'и', 'вместительный']","['такой', 'прелест', 'ждат', 'я', 'на', 'почт', 'пропуска', 'уведомлен', 'спасиб', 'вы', 'за', 'быстр', 'доставк', 'не', 'ожида', 'сумочк', 'качествен', 'и', 'вместительн']"
253,"забирать   заказ    спасибо   вы   большой   за   шортик    садиться   красиво   по   фигура 
",24 апр 2018 в 21:44,False,1,"['забирать', 'заказ', 'спасибо', 'вы', 'большой', 'за', 'шортик', 'садиться', 'красиво', 'по', 'фигура']","['забира', 'заказ', 'спасиб', 'вы', 'больш', 'за', 'шортик', 'сад', 'красив', 'по', 'фигур']"
254,"ураааа      сегодня   забирать   с   почта   свой   посылочка    невесомый   платьице    качество   прекрасный    вы   большой   молодец 
",24 апр 2018 в 23:20,True,1,"['ураааа', 'сегодня', 'забирать', 'с', 'почта', 'свой', 'посылочка', 'невесомый', 'платьице', 'качество', 'прекрасный', 'вы', 'большой', 'молодец']","['урааа', 'сегодн', 'забира', 'с', 'почт', 'сво', 'посылочк', 'невесом', 'платьиц', 'качеств', 'прекрасн', 'вы', 'больш', 'молодец']"
255,"сегодня   получать   крутой   джинсик    заказывать      го   число    доставка   действительно   быстрый   что   не   мочь   не   радовать    идеальный   по   размер   и   качество   для   я 
",25 апр 2018 в 19:13,False,1,"['сегодня', 'получать', 'крутой', 'джинсик', 'заказывать', 'го', 'число', 'доставка', 'действительно', 'быстрый', 'что', 'не', 'мочь', 'не', 'радовать', 'идеальный', 'по', 'размер', 'и', 'качество', 'для', 'я']","['сегодн', 'получа', 'крут', 'джинсик', 'заказыва', 'го', 'числ', 'доставк', 'действительн', 'быстр', 'что', 'не', 'моч', 'не', 'радова', 'идеальн', 'по', 'размер', 'и', 'качеств', 'для', 'я']"
256,"спасибо   большой      сумка   отличный   очень   довольный    заказывать   по   интернет   первый   раз   и   не   ошибаться       спасибо 
",25 апр 2018 в 19:28,True,1,"['спасибо', 'большой', 'сумка', 'отличный', 'очень', 'довольный', 'заказывать', 'по', 'интернет', 'первый', 'раз', 'и', 'не', 'ошибаться', 'спасибо']","['спасиб', 'больш', 'сумк', 'отличн', 'очен', 'довольн', 'заказыва', 'по', 'интернет', 'перв', 'раз', 'и', 'не', 'ошиба', 'спасиб']"
257,"спааасииибоооо    получать   сегодня   кроссовок    безумно   довольный   и   благодарный   вы    девочка   менеджер   посоветовать   с   размер    помогать   подбирать   модель    теперь   я   самый   модный 
",25 апр 2018 в 19:44,False,1,"['спааасииибоооо', 'получать', 'сегодня', 'кроссовок', 'безумно', 'довольный', 'и', 'благодарный', 'вы', 'девочка', 'менеджер', 'посоветовать', 'с', 'размер', 'помогать', 'подбирать', 'модель', 'теперь', 'я', 'самый', 'модный']","['спааасииибооо', 'получа', 'сегодн', 'кроссовок', 'безумн', 'довольн', 'и', 'благодарн', 'вы', 'девочк', 'менеджер', 'посоветова', 'с', 'размер', 'помога', 'подбира', 'модел', 'теперь', 'я', 'сам', 'модн']"
258,"вот   такой   у   я   теперь   туфелька    качество   прекрасный    рекомендовать 
",25 апр 2018 в 19:55,True,1,"['вот', 'такой', 'у', 'я', 'теперь', 'туфелька', 'качество', 'прекрасный', 'рекомендовать']","['вот', 'такой', 'у', 'я', 'теперь', 'туфельк', 'качеств', 'прекрасн', 'рекомендова']"
259,"получать   свой   сумочка     я   очень   по   душа    вместительный    без   запах    качество   хороший 
",26 апр 2018 в 8:22,True,1,"['получать', 'свой', 'сумочка', 'я', 'очень', 'по', 'душа', 'вместительный', 'без', 'запах', 'качество', 'хороший']","['получа', 'сво', 'сумочк', 'я', 'очен', 'по', 'душ', 'вместительн', 'без', 'зап', 'качеств', 'хорош']"
260,"заказик   получать    майка   очень   крутой    смотреться   стильно    но   просвечиваться    ддоставка   быстрый 
",26 апр 2018 в 16:51,False,1,"['заказик', 'получать', 'майка', 'очень', 'крутой', 'смотреться', 'стильно', 'но', 'просвечиваться', 'ддоставка', 'быстрый']","['заказик', 'получа', 'майк', 'очен', 'крут', 'смотрет', 'стильн', 'но', 'просвечива', 'ддоставк', 'быстр']"
261,"с   момент   заказ   до   прибытие   посылка   на   почта     весь      день   проходить    все   упаковывать   очень   тщательно    от   вещь   вообще   приходить   в   полный   восторг    отличный   качество    придираться   не   к   что   абсолютно    целый   день   радоваться    хотеться   пожелать   девочка   счастие    здоровье    успешный   бизнес    спасибо   огромный    быть   еще   заказывать 
",26 апр 2018 в 16:53,False,1,"['с', 'момент', 'заказ', 'до', 'прибытие', 'посылка', 'на', 'почта', 'весь', 'день', 'проходить', 'все', 'упаковывать', 'очень', 'тщательно', 'от', 'вещь', 'вообще', 'приходить', 'в', 'полный', 'восторг', 'отличный', 'качество', 'придираться', 'не', 'к', 'что', 'абсолютно', 'целый', 'день', 'радоваться', 'хотеться', 'пожелать', 'девочка', 'счастие', 'здоровье', 'успешный', 'бизнес', 'спасибо', 'огромный', 'быть', 'еще', 'заказывать']","['с', 'момент', 'заказ', 'до', 'прибыт', 'посылк', 'на', 'почт', 'ве', 'ден', 'проход', 'все', 'упаковыва', 'очен', 'тщательн', 'от', 'вещ', 'вообщ', 'приход', 'в', 'полн', 'восторг', 'отличн', 'качеств', 'придира', 'не', 'к', 'что', 'абсолютн', 'цел', 'ден', 'радова', 'хотет', 'пожела', 'девочк', 'счаст', 'здоров', 'успешн', 'бизнес', 'спасиб', 'огромн', 'быть', 'еще', 'заказыва']"
262,"большой   спасибо   за   ваш   работа    весь   очень   оперативно    ответ   на   весь   вопрос   по   ассортимент    сбор   заказ   и   доставка    быть   очень   приятно   получать   замечательный   платье 
",26 апр 2018 в 17:06,True,1,"['большой', 'спасибо', 'за', 'ваш', 'работа', 'весь', 'очень', 'оперативно', 'ответ', 'на', 'весь', 'вопрос', 'по', 'ассортимент', 'сбор', 'заказ', 'и', 'доставка', 'быть', 'очень', 'приятно', 'получать', 'замечательный', 'платье']","['больш', 'спасиб', 'за', 'ваш', 'работ', 'ве', 'очен', 'оперативн', 'ответ', 'на', 'ве', 'вопрос', 'по', 'ассортимент', 'сбор', 'заказ', 'и', 'доставк', 'быть', 'очен', 'приятн', 'получа', 'замечательн', 'плат']"
263,"вот   такой   прекрасный   сарафан   получать   сегодня    если   честно    я   не   ожидать   такой   хороший   качество    платьице   из   хлопок    по   размер   идеально    советовать 
",26 апр 2018 в 20:13,True,1,"['вот', 'такой', 'прекрасный', 'сарафан', 'получать', 'сегодня', 'если', 'честно', 'я', 'не', 'ожидать', 'такой', 'хороший', 'качество', 'платьице', 'из', 'хлопок', 'по', 'размер', 'идеально', 'советовать']","['вот', 'такой', 'прекрасн', 'сарафа', 'получа', 'сегодн', 'если', 'честн', 'я', 'не', 'ожида', 'такой', 'хорош', 'качеств', 'платьиц', 'из', 'хлопок', 'по', 'размер', 'идеальн', 'советова']"
264,"спасибо   вааам    заказывать   у   вы   туфля    очень   устойчивый    качество   замечательный    спасибо 
",26 апр 2018 в 20:27,True,1,"['спасибо', 'вааам', 'заказывать', 'у', 'вы', 'туфля', 'очень', 'устойчивый', 'качество', 'замечательный', 'спасибо']","['спасиб', 'ваа', 'заказыва', 'у', 'вы', 'туфл', 'очен', 'устойчив', 'качеств', 'замечательн', 'спасиб']"
265,"спасибо   за   посылка    приходить   быстро    все   как   и   обещать    костюмчик   подходить    а   вот   рубашка   маленький   оказалаось    но   мы   она   благополучно   продавать   друг      быть   заказывать   в   будущее   еще 
",27 апр 2018 в 15:39,True,1,"['спасибо', 'за', 'посылка', 'приходить', 'быстро', 'все', 'как', 'и', 'обещать', 'костюмчик', 'подходить', 'а', 'вот', 'рубашка', 'маленький', 'оказалаось', 'но', 'мы', 'она', 'благополучно', 'продавать', 'друг', 'быть', 'заказывать', 'в', 'будущее', 'еще']","['спасиб', 'за', 'посылк', 'приход', 'быстр', 'все', 'как', 'и', 'обеща', 'костюмчик', 'подход', 'а', 'вот', 'рубашк', 'маленьк', 'оказала', 'но', 'мы', 'она', 'благополучн', 'продава', 'друг', 'быть', 'заказыва', 'в', 'будущ', 'еще']"
266,"заказывать   у   вы   кед    спасибо   за   быстрый   доставка    качество   замечательный    менеджер   услужливый   девушка    покупка   довольный 
",27 апр 2018 в 18:28,False,1,"['заказывать', 'у', 'вы', 'кед', 'спасибо', 'за', 'быстрый', 'доставка', 'качество', 'замечательный', 'менеджер', 'услужливый', 'девушка', 'покупка', 'довольный']","['заказыва', 'у', 'вы', 'кед', 'спасиб', 'за', 'быстр', 'доставк', 'качеств', 'замечательн', 'менеджер', 'услужлив', 'девушк', 'покупк', 'довольн']"
